tracking_number,service_type,carrier_code,package_weight_kg,packaging_type,origin_city,origin_state,origin_pincode,destination_city,destination_state,destination_pincode,pickup_datetime_ist,delivery_datetime_ist,total_transit_hours,num_facilities_visited,num_in_transit_events,time_in_inter_facility_transit_hours,avg_hours_per_facility,is_express_service,delivery_location_type,num_out_for_delivery_attempts,first_attempt_delivery,total_events_count
391128701026,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Gurgaon,HR,122001,2020-03-16 15:44:00 IST,2020-03-20 13:37:00 IST,93.88333333333334,0,5,82.4,NULL,False,RESIDENCE,1,True,11
390901883808,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Bangalore,KA,560034,2020-03-06 16:07:00 IST,2020-03-09 19:50:00 IST,75.71666666666667,0,4,60.13333333333333,NULL,False,RECEPTIONIST_OR_FRONT_DESK,2,False,11
391128749178,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Ahmedabad,GJ,380028,2020-03-16 15:44:00 IST,2020-03-19 15:29:00 IST,71.75,0,6,56.43333333333333,NULL,False,RESIDENCE,1,True,12
390807986805,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,New Delhi,DL,110088,2020-03-03 16:19:00 IST,2020-03-07 14:24:00 IST,94.08333333333333,0,5,81.61666666666666,NULL,False,RESIDENCE,1,True,10
390948921190,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Delhi,DL,110009,2020-03-09 15:12:00 IST,2020-03-13 14:44:00 IST,95.53333333333333,0,5,83.0,NULL,False,RESIDENCE,1,True,11
390950106897,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Mumbai,MH,400053,2020-03-09 15:12:00 IST,2020-03-12 16:00:00 IST,72.8,0,4,59.9,NULL,False,NULL,0,NULL,12
391128762808,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Mumbai,MH,400052,2020-03-16 15:44:00 IST,2020-03-18 12:09:00 IST,44.416666666666664,0,5,35.266666666666666,NULL,False,RESIDENCE,0,NULL,10
390807994538,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,New Delhi,DL,110087,2020-03-03 16:19:00 IST,2020-03-07 15:19:00 IST,95.0,0,5,81.61666666666666,NULL,False,RESIDENCE,1,True,10
390950134073,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Delhi,DL,110009,2020-03-09 15:12:00 IST,2020-03-13 14:44:00 IST,95.53333333333333,0,4,83.0,NULL,False,RESIDENCE,1,True,10
390950572730,FEDEX_EXPRESS_SAVER,FDXE,28.0,Your Packaging,Bangalore,KA,560048,Bangalore,KA,560038,2020-03-09 15:12:00 IST,2020-03-10 15:30:00 IST,24.3,0,3,10.8,NULL,False,RECEPTIONIST_OR_FRONT_DESK,1,True,9
390839041400,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Delhi,DL,110027,2020-03-04 16:13:00 IST,2020-03-09 14:45:00 IST,118.53333333333333,0,5,85.8,NULL,False,RESIDENCE,1,True,12
390807999654,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Bokaro steel City,JH,827001,2020-03-03 16:19:00 IST,2020-03-12 13:00:00 IST,212.68333333333334,0,5,202.01666666666668,NULL,False,RECEPTIONIST_OR_FRONT_DESK,1,True,11
390767871261,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Gurugram,HR,122001,2020-03-02 16:23:00 IST,2020-03-11 18:30:00 IST,218.11666666666667,0,6,159.01666666666668,NULL,False,RECEPTIONIST_OR_FRONT_DESK,1,True,16
391018702750,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Lucknow,UP,226010,2020-03-11 16:39:00 IST,2020-03-18 19:26:00 IST,170.78333333333333,0,5,138.55,NULL,False,RESIDENCE,1,True,13
390931993491,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,ahmedabad,GJ,380015,2020-03-07 16:27:00 IST,2020-03-11 14:31:00 IST,94.06666666666666,0,7,81.91666666666667,NULL,False,RESIDENCE,1,True,13
391080326650,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Thane,MH,400604,2020-03-13 17:14:00 IST,2020-03-20 16:00:00 IST,166.76666666666668,0,10,155.71666666666667,NULL,False,NULL,4,False,23
390870220230,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Hyderabad,TS,500072,2020-03-05 19:20:00 IST,2020-03-14 18:15:00 IST,214.91666666666666,0,7,212.35,NULL,False,IN_BOND_OR_CAGE,1,True,24
390901963670,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,HYDERABAD,TS,500033,2020-03-06 16:07:00 IST,2020-03-10 18:00:00 IST,97.88333333333334,0,4,71.83333333333333,NULL,False,RECEPTIONIST_OR_FRONT_DESK,1,True,11
390950151411,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Delhi,DL,110009,2020-03-09 15:12:00 IST,2020-03-13 14:44:00 IST,95.53333333333333,0,4,83.0,NULL,False,RESIDENCE,1,True,10
390950569057,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Bengaluru,KA,560016,2020-03-09 15:12:00 IST,2020-03-10 11:52:00 IST,20.666666666666668,0,2,10.866666666666667,NULL,False,RESIDENCE,1,True,8
391018768927,FEDEX_EXPRESS_SAVER,FDXE,28.0,Your Packaging,Bangalore,KA,560048,Lucknow,UP,226010,2020-03-11 16:39:00 IST,2020-03-18 19:26:00 IST,170.78333333333333,0,4,138.55,NULL,False,RESIDENCE,1,True,12
390901927330,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Hyderabad,TS,500019,2020-03-06 16:07:00 IST,2020-03-12 13:49:00 IST,141.7,0,5,120.2,NULL,False,RESIDENCE,2,False,16
390932009368,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,HYDERABAD,TS,500032,2020-03-07 16:27:00 IST,2020-03-09 18:00:00 IST,49.55,0,5,39.05,NULL,False,RECEPTIONIST_OR_FRONT_DESK,0,NULL,10
280902966660,FEDEX_EXPRESS_SAVER,FDXE,2.5,Your Packaging,Bangalore,KA,560048,Hyderabad,TS,500014,2021-06-29 19:07:00 IST,2021-07-02 19:59:00 IST,72.86666666666666,0,4,62.266666666666666,NULL,False,IN_BOND_OR_CAGE,0,NULL,11
390871801797,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Bengaluru,KA,560068,2020-03-05 19:20:00 IST,2020-03-06 10:40:00 IST,15.333333333333334,0,2,8.75,NULL,False,RESIDENCE,1,True,8
390767885350,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Pune,MH,411014,2020-03-02 16:23:00 IST,2020-03-04 14:11:00 IST,45.8,0,4,35.083333333333336,NULL,False,RECEPTIONIST_OR_FRONT_DESK,1,True,9
390902302347,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Bangalore,KA,560080,2020-03-06 16:07:00 IST,2020-03-07 11:06:00 IST,18.983333333333334,0,3,12.95,NULL,False,RECEPTIONIST_OR_FRONT_DESK,1,True,9
391017630155,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,New Delhi,DL,110049,2020-03-11 16:39:00 IST,2020-03-16 15:25:00 IST,118.76666666666667,0,5,85.53333333333333,NULL,False,RESIDENCE,1,True,11
390839024061,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Delhi,DL,110027,2020-03-04 16:13:00 IST,2020-03-09 14:45:00 IST,118.53333333333333,0,5,85.8,NULL,False,RESIDENCE,1,True,12
391080744877,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Pune,MH,411029,2020-03-13 17:14:00 IST,2020-03-16 15:40:00 IST,70.43333333333334,0,8,59.733333333333334,NULL,False,RECEPTIONIST_OR_FRONT_DESK,0,NULL,14
391195866906,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,New delhi,DL,110025,2020-03-18 17:08:00 IST,2020-03-23 16:36:00 IST,119.46666666666667,0,7,115.36666666666666,NULL,False,RESIDENCE,1,True,14
391049832078,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Kolkata,WB,700034,2020-03-12 16:17:00 IST,2020-03-18 17:02:00 IST,144.75,0,4,114.25,NULL,False,RESIDENCE,1,True,12
280853182067,FEDEX_EXPRESS_SAVER,FDXE,5.0,Your Packaging,Bangalore,KA,560048,Chennai,TN,600090,2021-06-28 18:18:00 IST,2021-07-02 19:19:00 IST,97.01666666666667,0,4,70.56666666666666,NULL,False,RESIDENCE,2,False,14
390808808594,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Mumbai,MH,400071,2020-03-03 16:19:00 IST,2020-03-05 13:39:00 IST,45.333333333333336,0,4,33.13333333333333,NULL,False,RESIDENCE,1,True,10
391018775697,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Nagpur,MH,440010,2020-03-11 16:39:00 IST,2020-03-14 13:21:00 IST,68.7,0,6,59.05,NULL,False,RECEPTIONIST_OR_FRONT_DESK,1,True,12
390948863631,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Mumbai,MH,400004,2020-03-09 15:12:00 IST,2020-03-11 15:30:00 IST,48.3,0,6,34.45,NULL,False,RECEPTIONIST_OR_FRONT_DESK,0,NULL,11
390767878200,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Bangalore,KA,560103,2020-03-02 16:23:00 IST,2020-03-03 17:36:00 IST,25.216666666666665,0,2,7.133333333333334,NULL,False,RESIDENCE,1,True,7
390871721487,FEDEX_EXPRESS_SAVER,FDXE,28.0,Your Packaging,Bangalore,KA,560048,Mysuru,KA,570004,2020-03-05 19:20:00 IST,2020-03-06 14:00:00 IST,18.666666666666668,0,3,9.9,NULL,False,RECEPTIONIST_OR_FRONT_DESK,1,True,9
390871798135,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Mumbai,MH,400054,2020-03-05 19:20:00 IST,2020-03-09 18:30:00 IST,95.16666666666667,0,4,41.733333333333334,NULL,False,RESIDENCE,1,True,13
390769051308,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Pune,MH,411006,2020-03-02 16:23:00 IST,2020-03-06 18:19:00 IST,97.93333333333334,0,4,67.5,NULL,False,SHIPPING_RECEIVING,3,False,13
390948867394,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Vadodara,GJ,390005,2020-03-09 15:12:00 IST,2020-03-12 12:30:00 IST,69.3,0,5,60.71666666666667,NULL,False,RECEPTIONIST_OR_FRONT_DESK,0,NULL,10
391080357350,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Mumbai,MH,400053,2020-03-13 17:14:00 IST,2020-03-16 16:40:00 IST,71.43333333333334,0,5,56.483333333333334,NULL,False,RESIDENCE,1,True,11
390769041097,FEDEX_EXPRESS_SAVER,FDXE,14.0,Your Packaging,Bangalore,KA,560048,Nagpur,MH,440022,2020-03-02 16:23:00 IST,2020-03-05 16:20:00 IST,71.95,0,6,57.93333333333333,NULL,False,RESIDENCE,1,True,11
